seed;max_time;num_brigades;num_aircraft;num_machines;num_periods;mode;obj_fun;res_cost;wildfire_cost;resources_penalty;mipgap;mipgapabs;constrvio;status;solve_time;elapsed_time;selected_resources;contention_period
0;1800;40;40;40;100;original;None;None;None;None;None;None;None;9;1808,3400599956512;2903,3009264469147;None;None
1;1800;40;40;40;100;original;153051356,718;48143,318000000014;3213,4;153000000,0;0,0;0,0;0,0;2;1692,4044699668884;2481,7158966064453;30;12
2;1800;40;40;40;100;original;66058563,854;54696,653999999995;3867,2;66000000,0;2,2557500987732046e-16;1,4901161193847655e-08;0,0;2;1317,84814786911;1937,081021785736;29;12
3;1800;40;40;40;100;original;None;None;None;None;None;None;None;9;1800,0318639278412;2358,1228420734406;None;None
4;1800;40;40;40;100;original;None;None;None;None;None;None;None;9;1800,0143990516663;2425,4143669605255;None;None
5;1800;40;40;40;100;original;None;None;None;None;None;None;None;9;1800,0074849128723;2349,8135917186737;None;None
6;1800;40;40;40;100;original;None;None;None;None;None;None;None;9;1800,0176739692688;2578,179139137268;None;None
7;1800;40;40;40;100;original;120064860,27;61865,01000000003;2995,26;120000000,0;0,0;0,0;4,440892098500626e-16;2;1508,3858289718628;2459,6778194904327;34;11
8;1800;40;40;40;100;original;None;None;None;None;None;None;None;9;1800,0175349712372;2884,7854857444763;None;None
9;1800;40;40;40;100;original;None;None;None;None;None;None;None;9;1800,2859001159668;2727,1846590042114;None;None
